acronym,expansion,anchor_sentence
PD,pulmonary embolus:PE,"Neurologic exam is unremarkable. LABS: Sodium 133; chloride 91; potassium 4.4; bicarb 34; BUN 14; creatinine 0.6; anion gap 8; platelets 222; white blood cell count 11.9 with 76% neutrophils; hemoglobin 13.8; platelets 247, D-dimer 0.7; troponin less than 0.7. Brain natriuretic peptide is 69. Glucose is 150. Electrocardiogram shows no fast rhythm. No ischemic changes. CT of chest is negative for PD. It does show a couple of small mid-mediastinal nodes. IMPRESSIONS: 1. Dyspnea with hypoxia. No acute cause found in the emergency department."
PD,(drug) PD,5. Amitriptyline 10 HS 6. She is taking hydrocodone APAP 5/500 one tablet every 4-6 hours as needed for pain. 7. She is on some Guaifed PD. 8. She has been on Xenical 120 t.i.d. 9. Multivitamins ALLERGIES: Sulfa drugs. Smoking history - none. Alcohol use - none.
PD,posterior descending,"Coronary angiogram showed proximal LAD stenosis, large obtuse marginal severe stenosis, and severe stenosis in the PD of the right coronary artery. Left ventricular and diastolic pressure was 10 mm of mercury. She had internal mammary to the diagonal of the LAD, vein graft to the PDA of the right coronary artery and a vein graft to the ramus circumflex artery."
PD,purified protein derivative:PPD,"2. Hypokalemia, mild noted prior to admission. 3. Borderline hypertension noted since admission. I am not aware of a history of hypertension. 4. History of positive PD treated last year. It is not clear if the patient is compliant with a complete course and what type of follow-up he has had for this."
PD,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
ET,enterocutaneous:EC,"HISTORY OF PRESENT ILLNESS: A 47-year-old African-American female with advanced esophageal cancer which was diagnosed in _%#MM2005#%_ who has had radiation and chemotherapy and subsequently developed dysphagia, has had significant weight loss, and developed an obstruction and an ET fistula. A stent was placed, but evidently there has been some leakage or some dislodging. She also has recently developed a GI bleed and has needed blood replacements."
ET,electrophysiology:EP,Carvedilol will be decreased to 6.25 mg p.o. b.i.d. if his blood pressure systolic is greater than 80 mmHg. His Bi-V ICD will be interrogated. We have asked Dr. _%#NAME#%_ and Dr. _%#NAME#%_ from the ET department to be consulted to review his case. Warfarin will be regulated through the pharmacy department. He may need dobutamine infusion.
ET,elective termination,"PAST MEDICAL HISTORY: Notable for depression, endometriosis, trace mitral regurgitation, and a family history of breast cancer. PAST SURGICAL HISTORY: Cholecystectomy, hysterectomy, tubal ligation, oophorectomy, hernia repair, left distal radial open reduction internal fixation and ET (elective termination of pregnancy). MEDICATIONS: 1. Premarin 0.9 mg a day. 2. Multivitamin"
ET,pressure equalization:PE,"PAST MEDICAL HISTORY: 1. Psychiatric history. This is per Dr. _%#NAME#%_. 2. Status post bilateral ear surgery as a child. The patient had ET tubes placed that tore through his tympanic membrane, and the patient required surgery to repair the damage. The patient has a history of hearing loss. 3. Status post car accident in _%#MM200_#%_."
ET,electroconvulsive therapy:ECT,"She is compliant with medication. She has had symptoms of increasing despondency with a self-inflicted cigarette burn of the volar aspect of her left forearm, in addition to self-cutting with a ""used razor"" approximately four nights ago. She was evaluated in the emergency department at _%#CITY#%_ _%#CITY#%_; gaping wound left forearm, not sutured, discharged home. Last ET _%#MMDD2002#%_. She denies other active self-harm. There is a remote history of drug overdose x 3 during the patient's teens. She has never received ECT. No problems with general anesthesia except that the patient awakened after jaw surgery in 1977 in the ICU; cannot recollect details."
ET,enterostomal therapy,"5. Risk for osteomyelitis given the pressure sores on the bottom of the right foot. PLANS: We will consult with the ET nurse for wound care orders, and we will consult with Infectious Disease. She will be treated for now with intravenous vancomycin, and we will check into the possibility of ongoing outpatient care with IV vancomycin."
ET,endotracheal,"VITAL SIGNS: Blood pressure is 87/70, heart rate currently 120 and irregular. HEENT: Notable for a nasogastric tube in place and ET tube in place. Pupils are equal, round and reactive to light and accommodation. Oropharynx is clear. NECK: Supple. No trauma. CHEST: Has diffuse crackles on the right, bilateral wheezing."
ET,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
SBP,systolic blood pressure,"2. Hypertension. 3. Dyslipidemia. DISCHARGE MEDICATIONS - UNCHANGED: 1. Alprazolam 0.5 mg p.o. each day at bed-time p.r.n. 2. BuSpar 10 mg p.o. daily 3. Hydrochlorothiazide 25 mg p.o. daily 4. Lisinopril 10 mg p.o. daily, hold if SBP is less than 90 5. Multivitamins with minerals p.o. daily 6. Simvastatin 80 mg p.o. q p.m. 7. Aspirin 81 mg p.o. daily 8. Ibuprofen 600 mg p.o. q.i.d. p.r.n. pain"
SBP,spontaneous bacterial peritonitis,"COURSE IN THE HOSPITAL: 1. End-stage liver disease. As mentioned above, he is high on the transplant list and we did get liver transplant team to assess him as an inpatient. The only medication change they suggested is to change his prophylactic SBP antibiotics from Levaquin to Bactrim. We will also continue his other GI medication upon discharge. Although Nh3 is 119 he is fully lucid. 2. Small bowel obstruction."
OTC,ornithine transcarbamoylase,"LABORATORY: Admission labs were pertinent for an ammonia of 300, phos of 2.5, a UPT that was negative, and a UA that was negative. HOSPITAL COURSE: 1. OTC Deficiency: With her acute hyperammonia status, she was made NPO and started on one and half times maintenance of fluid with sugar substrate and other IV substrate including IV Ammonul."
OTC,over the counter,"While driving back to work, he noticed a squeezing pain in his left chest associated with tingling going down the left arm. He thought it may be reflux, but it did not respond to OTC gastroesophageal reflux disease medications. In retrospect, he noted similar symptoms for the past 1 to 2 weeks with less intensity. ALLERGIES: No known drug allergies. SOCIAL HISTORY: No tobacco, social alcohol use."
GT,gutta,"4. Vitamin E 400 Int'l units every other day. 5. The eye drops that were prescribed post cataract surgery, Tobradex 1 GT to left eye qid and Acular 0.5% 1 GT to left eye qid. DISCHARGE FOLLOW-UP: Is to be with Dr. _%#NAME#%_ _%#NAME#%_ either on _%#MMDD2002#%_ or _%#MMDD2002#%_ for a CBC with differential and platelets."
GT,gastrostomy tube,"* Anemia: _%#NAME#%_ is being discharged on Ferrous Sulfate * Constipation: _%#NAME#%_ was discharged on pear juice And glycerin suppositories prn. Recent Labs: * Sodium (_%#MMDD#%_): 142 * Potassium (_%#MMDD#%_): 5.1 * Chloride (_%#MMDD#%_): 105 * BUN (_%#MMDD#%_): 22 * Glc (_%#MMDD#%_): 90 * Ca (_%#MMDD#%_): 9.5 * Mg (_%#MMDD#%_): 2.4 * Phos (_%#MMDD#%_): 4.7 * TSH: (_%#MMDD#%_)3.20 * Free Thyroxine (_%#MMDD#%_): 1.51 * Hg (_%#MMDD#%_): 12.3 * Platelets (_%#MMDD#%_): 343 * Prealbumin (_%#MMDD#%_): 8 Discharge medications, treatments and special equipment: * Captopril GT 0.2mg q8h * Diuril 40mg GT bid * Spironolactone 4mg GT bid * Potassium Chloride 1.5mEq GT q12h * Sodium Chloride 9 mEq GT q6h * Levothyroxine 12.5mcg GT every other day, 25mcg GT every other day * Acetaminophen 40mg GT q6h prn pain * Glycerin 0.5 PR prn constipation * Ferrous Sulfate 10mg GT qDay * Amoxicillin 125mg GT qDay * Fluticasone 110 micrograms inhaled bid * Atrovent HFA 2puffs inhaled q4h prn respiratory distress Transfer measurements and exam: Weight 4190g (<3%), Length 49.5 (<3%), OFC 36 cm (<3%)."
GT,glucose tolerance,"She presented the morning of admission with ruptured membranes but was not in labor. Her pregnancy had been essentially uncomplicated. Prenatal labs include blood type A+, antibody negative, hemoglobin 12.8, RPR non-reactive, hepatitis surface antigen non-reactive, Rubella immune, HIV non-reactive, Glucola equal to 149 with a normal three hour GT. PAST MEDICAL HISTORY: History of cholecystectomy in 2003. MEDICATIONS: Prenatal vitamins."
GT,gamma-glutamyltransferase:GGT,"LABORATORY DATA: From Regions Hospital showed a basic metabolic panel within normal limits. Urine tox is negative. ALT 9, AST 18, total bilirubin 0.3, total cholesterol 194, CK 35, GT 30, magnesium 1.9, phosphorus 2.8. TSH 1.03. Hemoglobin 11.6 with a hematocrit 34.3, otherwise within normal limits. Recheck of hemoglobin on _%#MMDD2006#%_ was 12.1. ASSESSMENT: 1. Alcohol detox."
GT,glutamyl transpeptidase,"On _%#MMDD2007#%_, Hemoglobin A1C was 7.6, TSH less than 0.03, Free T4 was 2.2 which was mildly elevated. T3 level was 93 which is normal. Cortisol 21.7. Hepatitis C antibody was negative. Gamma GT 21. ALT 31. AST 42. Alkaline phosphatase 62. ADDENDUM : Discharged today but januvia too expensive changed to amaryl."
GT,guttae:GGT,"4. Atrial fibrillation. As mentioned in the H and P, the patient's hospital course at the outside hospital was complicated by multiple episodes of paroxysmal atrial fibrillation. All of these episodes were responded to cardioversion and the patient was started on amiodarone GT T. During the initial hospitalization at UMMC, his hospital course was complicated by an episode of atrial fibrillation which was successfully cardioverted."
VBG,vertical banded gastroplasty,DIAGNOSIS: Upper gastrointestinal bleed. HISTORY OF PRESENT ILLNESS: Ms. _%#NAME#%_ _%#NAME#%_ is a 48-year-old female underwent revision of her VBG to Roux-en-Y GB on _%#MMDD2007#%_. The patient states that she has had black tarry formed stools since her operation. One day prior to presentation she began to have diarrhea with bright red blood mixed in her stools.
VBG,venous blood gas,"Had gasping respirations at 30 minutes of age. He was transferred to the SCN at Southdale Hospital and placed on a ventilator with rate 60, PIP 24, EEP 4, and 100% FiO2. His initial VBG was 6.90/63/57/12. He was maintained on mechanical ventilation during transport and throughout his NICU stay. 2. Cardiovascular - FHTs before delivery were noted to be in the 60s."
MR,magnetic resonance,2. Hyperlipidemia. 3. Acid reflux disease. 4. Status post right total knee arthroplasty in 2001. DISCHARGE PLANS: 1. Repeat MRI brain and MR angiogram of circle of Willis on _%#MMDD2005#%_ at Fairview Southdale Hospital. 2. Follow up with Dr. _%#NAME#%_ _%#MMDD2005#%_. 3. Follow up at primary-care clinic in about two weeks
MR,medical record,The history was obtained primarily from wife and from the medical record as the patient was not able to give history at the time of admission. Review of the MR indicated at the time of admission that the patient had chronic kidney disease and since _%#MM2006#%_ the renal function had been getting worse.
MR,GENERAL ENGLISH,"Conversely he has continued to use all the way up until 3 months, when he was abusing opiates. He also has had a history of passive-aggressive and forceful type behaviors. IT should be noted though that his father has a history of alcoholism and continues to drink on a daily basis. Overall, he feels that he was emotionally abused by his father."
MR,mitral regurgitation,"They did not find this very concerning and recommended consideration of an outpatient stress test and outpatient Holter monitor. Additionally, they recommended starting digoxin to control symptoms. Cardiac echo obtained during the hospital course showed a normal ejection fraction, mild LVH, moderate LAE, moderate MR, moderate RVE, moderate RAE, moderate TR, moderate increased right ventricular systolic pressure. PROBLEM #3: Chronic change right lung base on CT scan."
MR,myocardial infarction:MI,On the day of admission he had severe chest pressure which quite frightened him and brought him here. He ruled out for an MR. His initial cardiac echo was normal and his EKG was normal. He did have a couple of very mild episodes of his chest pressure.
MR,mental retardation,"The patient was admitted for the evaluation of escalating behavior concerns. She has a significant psychiatric history, which includes pervasive developmental disorder, ADHD, mild MR, fetal alcohol spectrum. She has been hospitalized here on several occasions for similar concerns. The patient denies acute physical concerns. She does have a history of pulmonary stenosis and recently had an echocardiogram done to evaluate this, in view of history of intermittent left lower extremity edema."
DM,NAME,CHIEF COMPLAINT: Fever. HISTORY OF PRESENT ILLNESS: _%#NAME#%_ _%#NAME#%_ is a _%#1914#%_ male recently discharged from Southdale Hospital with urosepsis to _%#CITY#%_ Care Center. This morning was getting up to the bathroom trying to walk without his walker; he fell and bumped his head at that time.
DM,dextromethorphan,6. Lisinopril 20 mg p.o. daily. 7. Protonix 40 mg p.o. daily. 8. Albuterol MDI 2 puffs q. 4 hours p.r.n. shortness of breath. 9. Doxepin 25 mg p.o. q. h.s. 10. Robitussin DM 10 mL p.o. q. 4 hours p.r.n. cough. 11. Advair 1 puff b.i.d. 12. Combivent 2 puffs q.i.d. HISTORY OF PRESENT ILLNESS: The patient is an 85-year-old male who came in with worsening cough.
DM,medical doctor:MD,"Primary care physician: _%#NAME#%_ _%#NAME#%_, MD - Allina Medical Clinic, _%#CITY#%_ Oncologist: _%#NAME#%_ _%#NAME#%_, DM - Mayo Clinic CHIEF COMPLAINT: Shortness of breath. HISTORY OF PRESENT ILLNESS: All of the history is obtained from Mrs. _%#NAME#%_ _%#NAME#%_'s children who are present at the hospital at this time."
DM,diabetes mellitus,"The patient was started on neoadjuvant chemotherapy and completed 2 cycles of ifosfamide to Adriamycin on _%#MM#%_ _%#DD#%_, 2003. CT from an outside hospital showed multiple lung nodules, with indeterminate significance. These are type negative. 2. DM, type 2, since the age of 19, well controlled on p.o. meds. 3. Hyperlipidemia. 4. Hypothyroidism. 5. Recurrent vaginal yeast infection. ALLERGIES: Flu shot, Techni-Care scrub."
DM,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
IA,transient ischemic attack:TIA,"10. Status post kidney mass removal in 2003. 11. Status post cholecystectomy in 2003. 12. Status post breast reduction in _%#MM2007#%_. 13. History of T IA, patient states she was previously in rehab for this. ALLERGIES: Penicillin, meperidine, sulfa, Vistaril, Ambien and morphine."
IA,(class) IA,"Very anxious individual. LEG EXAM: As indicated from previous exams with the orthopedic surgeon and with myself. Slowly growing. MANAGEMENT: He is Class IA as a risk. The methotrexate should not be of much concern. We will get liver function tests, CBC, and basic metabolic profile."
IA,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
IA,(type) IA,"All of these conditions are what's called recessive inheritance, which means that both parents need to be a carrier in order to have a child that is affected with these conditions. We reviewed cystic fibrosis, Tay-Sachs disease, Canavan disease, familial dysautonomia, Bloom syndrome, Fanconi anemia, group C, Gaucher's disease, glycogen storage disease type IA, maple syrup urine disease, mucolipidosis type IV, and Niemann-Pick disease (type A). If 1 individual is found to be a carrier, then we can certainly screen the other partner."
IA,Iowa,"DISCUSSION: Mr. _%#NAME#%_'s history is already well described. The patient has a lengthy history of cardiac issues and is admitted here with a complaint of chest pain. He was last at this hospital in _%#MM2000#%_ and since then has received medical care from a number of sources apparently mainly through physicians in _%#CITY#%_, IA during 2001 and 2002, more recently he has lived in _%#CITY#%_, MN and has been cared for by primary physicians there as well as visiting cardiology consultants from the Abbott Northwestern group."
IA,(status) IA,"It also showed several long clots of blood. She did have a right heart cath the day prior to developing hemoptysis but the balloon was not inflated in the pulmonary artery, which, otherwise, could have been a contributor to developing hemoptysis. In addition, the patient was intubated in the ICU. Pulmonary consult was obtained. The patient's transplant status was upgraded to IA. She remained intubated and was relatively stable until the morning of _%#MMDD2006#%_. She became hypotensive on the morning of _%#MMDD2006#%_ and was profoundly acidotic."
IA,(grade) IA,"He was seen by primary cardiologist Dr. _%#NAME#%_ on _%#MMDD#%_ and heart muscle biopsy, which revealed no evidence of rejection with inflammatory grade IA. On _%#MMDD#%_, home health care nurse noticed that the patient has tachycardia around 140s. He denied any symptoms including dyspnea, dizziness, lightheadedness or palpitation."
IA,(stage) IA,"Her history dates back to 2003 when she underwent a TAH, BSO, pelvic and periaortic lymphadenectomy at the University of Minnesota for a stage IA adenosarcoma of the uterus. She did well until approximately _%#MM#%_/_%#MM#%_ of this year when she began experiencing abdominal pain and was cared for during this time at Methodist Hospital at the Park Nicollet Cancer Center."
IA,intraarterial,"His puncture site was clean, dry and intact. His intraarterial chemotherapy was carboplatin at 684 mg. IA chemotherapy on day 1 and day 2, IV chemotherapy with Cytoxan and etoposide 564.3 and 342 mg IV respectively. After the procedure, there were no complications. He was ambulating and having good pain control prior to discharge."
BM,bowel movement,"He has had persistent periumbilical pain 6 out of 10 which he rated as sharp. He described it as non-radiating. The patient had not produced over those 2 days any BM or any flatus suggesting an obstructive picture. However, with Gastrografin enema he did produce stool and his constipation symptoms were relieved."
BM,breast milk,He passed the ABR hearing screening test. Immunizations: none given _%#NAME#%_ was discharged on 24Kcal BM fortified with Enfacare on an ALD schedule. The parents were asked to make an appointment for their child to see you within one week.
BM,bone marrow,"2. AMS - workup in progress 3. CMV viremia - treatment with Valcyte started 4. anemia/thrombocytopenia - high LDH and low haptoglobin suggests intravascular hemolysis (ie TTP-HUS) although no evidence on smear, pancytopenia could certainly be explained by active CMV viremia -> BM suppression, follow now but would treat if high clinical suspicion I was present and participated in this evaluation and agree with the fellow's note above."
BM,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
LE,NAME,CHIEF COMPLAINT: Fever. HISTORY OF PRESENT ILLNESS: _%#NAME#%_ _%#NAME#%_ is a _%#1914#%_ male recently discharged from Southdale Hospital with urosepsis to _%#CITY#%_ Care Center. This morning was getting up to the bathroom trying to walk without his walker; he fell and bumped his head at that time.
LE,lower extremity,"Will continue lactulose, follow her MS. Her ct showed area of hypodensity, will f/u with MRI. Currently no diffuse abdominal pain, wil check for SBP if she develops this, spikes a fever. 2)LE Edema -- evaluate with US for DVT, o/w will treat with diuretics, although this is likely related to her pulm HTN and cirrhosis."
LE,left ventricle:LV,"CT of the head revealed prior basal ganglia injury, otherwise no acute changes. Bilateral carotid ultrasounds were less than 50%. Echocardiogram revealed mild LE with a normal ejection fraction, grade II diastolic dysfunction. MRI/MRA one week ago apparently noted atrophy only. Dr. _%#NAME#%_ noted that her MRI, 2-D echo and carotids were essentially normal and did note that she had benign positional vertigo versus a questionable TIA type symptoms and she would be well covered on a combination of one baby aspirin per day."
LE,lupus erythematosus,"CV: Negative. Respiratory: Negative. Digestive: Negative. Urinary: Negative. Muscle, bone, and concomitant joint pain and myofacial pain associated with LE flares. Skin: The patient has been experiencing increasing episodes of hives, although not in the most recent exacerbation that led to her admission."
LE,lymphedema,"Lungs were clear to auscultation bilaterally. Abdomen was soft, nontender, nondistended with some mild epigastric tenderness. Extremities were normal with trace LE. She did not have any rashes, and her neurologic exam was grossly intact. LABORATORY: On admission, white count was 11,000, hemoglobin 14.3, platelets 390,000."
LE,long-acting:LA,MEDICATION ALLERGIES: None known. MEDICATIONS PRIOR TO ADMISSION: 1. Depakote ER 500 mg two q.h.s. 2. Metamucil one teaspoon daily. 3. Datril LE 2 mg daily. 4. Provera 10 mg two tablets t.i.d. 5. Oxygen 2 L per nasal cannula while sleeping. 6. Premarin 0.625 mg daily. 7. Synthroid 0.05 mg daily for presumed hypothyroidism.
LE,sinemet-levodopa,"She was discharged on postoperative day 1 after her pulse generator was programmed. DISCHARGE MEDICATIONS: 1. Sinemet LE 25/100 1/4 tablet at 0700 and 1100. 2. Sinemet LE 25/100 1/2 tablet at 1900. 3. Sinemet CR 50/200 1/2 tablet at 0700, 1100, 1900, and 2300."
LE,leukocyte esterase,"INR is 2.84. She has normal LFTs, amylase and lipase. A troponin is less than 0.04. Urinalysis shows small blood, negative nitrate and LE. There is less than 1 WBC and 8 RBCs. Chest x-ray is clear without any focal consolidation."
LE,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
US,United States,"3. Prilosec 20 mg daily. 4. Senna 2 tablets at bedtime. SOCIAL HISTORY: Patient does not smoke or drink alcohol. She has been in the U.S. for the last 6 years, and she lives with her grandson. PHYSICAL EXAMINATION: VITAL SIGNS: Temperature 95.7, pulse 79 blood pressure 154/93, and respiratory rate 18."
US,ultrasound,"He managed to avoid hospitalization. We saw him on Monday, the day before yesterday in clinic to discus endoscopic options which was planned to be endoscopic pancreaticogastrostomy by US guidance. We recommended that he repeat a CT scan yesterday, particularly because he looked so poorly and he was in pain and had been losing weight."
US,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
US,GENERAL ENGLISH,"Conversely he has continued to use all the way up until 3 months, when he was abusing opiates. He also has had a history of passive-aggressive and forceful type behaviors. IT should be noted though that his father has a history of alcoholism and continues to drink on a daily basis. Overall, he feels that he was emotionally abused by his father."
AMA,antimitochondrial antibody,"PLAN: 1) Increase diuretics. 2) Consider Natrecor. 3) Repeat chest x- ray on Monday to follow up after therapy has been augmented. 4) Consider checking AMA, ESR, ANCA to screen for interstitial lung disease if no better after congestive heart therapy augmentation. HISTORY OF PRESENT ILLNESS: This patient is an 80-year-old male who was admitted on _%#MMDD2004#%_ with one-month history of worsening fatigue and breathlessness with activity."
AMA,advanced maternal age,"DISCHARGE DIAGNOSES: 1. Intrauterine pregnancy at term. 2. Active labor. 3. Status post cesarean section. COMPLICATIONS: Fetal intolerance of labor, AMA, infertility, with artificial insemination. OPERATIONS/PROCEDURES PERFORMED: Primary cesarean section. PRENATAL CARE: Nurse midwives, began at 11 weeks, 9 visits, weight gain was 13 pounds."
AMA,against medical advice,She will sign an AMA form. I will give her Vicodin and Coumadin to take with her as a precaution. She has agreed to sign AMA.
PCP,patient-controlled analgesia:PCA,"At this point and time, please see orders for details. We will place her on Rocephin 2 gm every 12 hours until cultures are back as well as Solu- Medrol. PAC pump for anesthesia. Tylenol as needed. Nicoderm patch for smoking. Heating pad for comfort. Trazodone for sleep. Celexa for anxiety."
PCP,Pneumocystis jiroveci pneumonia,"In regards to her rheumatoid arthritis she is on long-term prednisone, which was continued in the hospital, and she is also on Bactrim for PCP prophylaxis. She then was transferred to rehabilitation. REHABILITATION COURSE: The patient slowly met the goals of physical therapy and occupational therapy."
PCP,primary care physician,"15. Lopressor 25 mg b.i.d. 16. Myfortic 360 mg p.o. b.i.d. 17. Protonix 40 mg once a day. Followup appointment with the PCP and with Dr. _%#NAME#%_ in a couple of weeks in clinic and he is to be followed by his coordinator and labs Monday, Wednesday and Friday for PT/INR keep it between 2 and 3 for Coumadin a total of 3 months and his labs we will watch on Monday, Wednesday and Friday until his creatinine normalizes."
PCP,phencyclidine,"CT of the head showed no acute bleed. Alcohol level is nondetectable. Myoglobin is 520, U-Tox shows cannabis, otherwise negative for tricyclic, PCP, cocaine, barbiturates, methamphetamine and amphetamine. Next, acetaminophen and salicylate level are negative. Glucose is 135, potassium is 4.1, creatinine is 1.7, NI gap is 30."
PCP,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
CVA,cerebrovascular accident,PAST MEDICAL HISTORY: Significant for the following: 1. Hypertension. 2. Hyperlipidemia. 3. History of atrial fibrillation. 4. History of CVA with complete resolution. 5. Left carotid artery stenosis 70%. 6. History of right thigh hematoma with drainage surgery a few months ago.
CVA,costovertebral angle,"The ABDOMINAL EXAM shows bowel sounds are present. The abdomen is soft and nontender. No mass or hepatosplenomegaly noted. No hernia is noted. The BACK exam shows no CVA tenderness. EXTREMITIES show full range of motion. No bone, joint, or soft tissue abnormalities are apparent. NEUROLOGIC exam shows poor memory, otherwise no problems noted there."
PAC,(drug) PAC,She was on multiple medications on admission 1. Diflucan 2. Aldactone 3. Risperdal 4. Lactulose 5. Slo-Mag 6. Tequin 7. She also takes Aldactone 8. Entex PAC one tablet Q day She STATES THAT She IS ALLERGIC TO PENICILLIN AND CEPHALOSPORINS.
PAC,premature atrial contraction,"Lipids on _%#DDMM2007#%_, total cholesterol 188, triglycerides 101, HDL 48, LDL 120, AST 20. EKG shows normal sinus rhythm, rate of 66, 1 PAC, LAD, otherwise unremarkable. Troponin less than 0.04. Head CT negative. IMPRESSION: Syncope. The patient without any symptoms."
PAC,pulmonary artery catheter,"10. Obesity with history of fatty liver. 11. Iron deficiency first diagnosed in _%#MM2002#%_, treated with oral iron supplements which the patient has been taking since diagnosis. HOSPITAL COURSE: PROBLEM #1. Hypotension: The patient had a PAC placed which showed a septic-like picture; however, blood cultures were negative. She was placed on several days of Cipro and Zosyn as empiric therapy."
PAC,physician assistant certification,"PRE-OPERATIVE DIAGNOSIS: Morbid obesity. POST-OPERATIVE DIAGNOSIS: Morbid obesity. PROCEDURE: Laparoscopic gastric bypass and incidental cholecystectomy. SURGEON: _%#NAME#%_ _%#NAME#%_, MD ASSISTANT: _%#NAME#%_ _%#NAME#%_, PAC Admission BMI: 44.4. Weight: 275.3 Height: 5 foot 6 inches HOSPITAL COURSE: _%#NAME#%_ _%#NAME#%_ underwent gastric bypass and incidental cholecystectomy under general anesthesia uncomplicated."
PAC,post anesthesia care,"However, upon extubation, the patient was noted to be unresponsive and had difficulty breathing and therefore had to be reintubated. However, after re- extubation, the patient was able to wake up and the rest of the stay at PAC was uneventful. Postoperatively there was noted intact motor and sensory function of the left lower extremity. The drain was pulled out several hours after the procedure."
PAC,pulmonary arterial concentration,"The patient has hypoventilation and respiratory acidosis. Likely has obstructive sleep apnea, possibly a component of central sleep apnea, however, the CO2 retention in general, patients with central apnea from heart failure may have low PAC O2s. The patient is at risk for aspiration. the patient should be on BiPAP with a backup rate. If she cannot be managed on this she will need intubation discussed with her husband."
PAC,picture archiving communication,"IMAGING: A head CT done without contrast today _%#DDMM2007#%_ in comparison to a head CT done without contrast on _%#DDMM2007#%_, both of which were done at our institution and are in her PAC system shows: 1. Slight involution in the right temporal intraparenchymal hemorrhage. 2. A new 1.5x1.4 intraparenchymal hemorrhage in the right posterior occipital pole."
